name,categoria,calories,protein,carbs,fat,fiber,sugar,sodium,n_productos
Queso Cremoso,QUESOS,310.0,19.7,2.0,25.0,0.0,0.5,395.0,23
Poroto Negro,VEGETALES Y FRUTAS,281.7,21.7,55.0,1.2,15.5,0.0,0.0,23
Chorizos Frescos,CARNES Y CHACINADOS,273.8,15.6,6.0,20.0,2.2,0.9,656.0,23
Dulce De Alcayota,CONFITURAS Y DULCES,275.0,0.4,67.0,0.0,0.5,63.5,16.4,23
Lentejas Secas Remojadas,VEGETALES Y FRUTAS,88.1,7.3,16.1,0.6,4.9,0.0,31.5,22
Champignones Laminados,VEGETALES Y FRUTAS,12.0,2.0,1.6,0.4,1.9,0.0,250.0,22
Mermelada De Manzana,CONFITURAS Y DULCES,262.5,0.0,65.0,0.0,0.0,65.0,0.0,22
Queso Tybo,QUESOS,325.0,26.7,2.0,24.3,0.0,1.5,463.3,22
Granos De Choclo Amarillo Tipo Cremoso,VEGETALES Y FRUTAS,52.3,0.9,10.0,0.7,1.5,2.1,105.4,21
Aceitunas Negras En Rodajas En Salmuera,VEGETALES Y FRUTAS,190.0,1.0,5.0,15.0,3.0,0.0,1635.0,21
Azucar Rubio,AZÚCARES Y EDULCORANTES,400.0,0.1,100.0,0.0,0.0,100.0,0.0,21
Helado De Leche Sabor Dulce De Leche,HELADOS,156.7,3.7,26.7,3.8,1.4,20.0,50.0,21
Jardinera De Hortalizas Y Legumbres,VEGETALES Y FRUTAS,59.2,4.4,9.2,0.4,4.2,2.8,56.9,21
Caramelos Masticables Sabores Surtidos,CARAMELOS Y GOLOSINAS,390.0,0.0,90.0,3.0,0.0,73.2,25.0,21
Chocolate Semiamargo,CACAO Y CHOCOLATE,532.0,6.4,52.0,33.2,8.0,48.0,0.0,21
Masa Para Pizza,MASAS Y PANADERÍA,277.5,6.8,50.0,4.0,2.3,0.9,500.0,21
Garbanzos Secos Remojados,VEGETALES Y FRUTAS,83.1,5.8,12.3,1.3,6.8,0.8,27.7,20
Ajies En Vinagre De Alcohol,VEGETALES Y FRUTAS,16.0,0.8,2.7,0.0,1.6,2.6,794.0,20
Tapa Para Pascualina,PASTAS,333.3,6.6,46.7,12.7,2.0,0.0,328.3,20
Fórmula Láctea Para Lactantes En Polvo,SUPLEMENTOS Y DIETÉTICOS,506.5,10.3,53.2,25.9,0.8,8.0,154.5,20
Papas Fritas,VEGETALES Y FRUTAS,530.0,6.4,54.8,33.2,4.4,0.8,510.0,20
Salsa De Soja,SALSAS Y ADEREZOS,63.3,7.3,8.7,0.0,0.0,8.3,5326.7,20
Queso Gouda,QUESOS,386.7,25.3,0.0,31.2,0.0,0.0,690.0,20
Poroto Alubia,VEGETALES Y FRUTAS,336.7,21.7,58.3,1.4,16.0,0.0,0.0,19
Helado De Agua Sabor Uva,HELADOS,93.3,0.0,23.3,1.4,0.0,20.0,0.0,19
Galletitas Dulces,GALLETITAS Y BARRAS,440.0,7.9,70.0,13.0,2.0,22.7,320.0,19
Aceite De Oliva,ACEITES Y GRASAS,830.8,0.0,0.0,92.3,0.0,0.0,0.0,19
Mayonesa,SALSAS Y ADEREZOS,691.7,0.8,4.2,76.7,0.8,0.4,550.0,19
Pastillas Sabores Surtidos,CARAMELOS Y GOLOSINAS,365.0,6.5,90.0,,0.0,80.0,36.0,19
Porotos Alubia,VEGETALES Y FRUTAS,335.0,21.7,61.7,0.8,15.0,2.2,0.0,19
Pan De Molde,MASAS Y PANADERÍA,278.0,7.2,52.0,4.0,2.2,4.0,290.0,19
Pan Frances,MASAS Y PANADERÍA,260.0,8.0,52.0,1.6,2.0,0.0,454.0,19
Confitura De Sauco,CONFITURAS Y DULCES,260.0,0.5,60.0,0.0,4.0,56.0,0.0,19
Porotos Alubia Secos Remojados,VEGETALES Y FRUTAS,93.8,6.5,14.6,0.5,5.3,0.8,66.2,18
Ananás En Trozos Comunes,VEGETALES Y FRUTAS,78.9,0.2,19.6,0.2,0.7,17.9,0.0,18
Pasta De Semola De Trigo Duro,PASTAS,351.9,12.5,71.2,1.2,3.0,3.2,0.0,18
Snack A Base De Papa Sabor Barbacoa,CEREALES Y HARINAS,508.0,5.4,56.0,28.4,5.6,2.8,748.0,18
Yerba Mate Elaborada Despalada,TÉ E INFUSIONES,43.0,1.6,9.5,0.0,0.6,0.0,14.0,18
Tomate Pelado Cubeteado,VEGETALES Y FRUTAS,25.0,1.2,4.0,0.0,1.2,3.5,16.9,18
Pastillas De Goma Fantasia Sabores Surtidos,CARAMELOS Y GOLOSINAS,340.0,6.2,79.5,0.0,0.0,59.1,37.5,18
Helado De Agua De Frutilla,HELADOS,111.7,0.2,28.0,0.2,0.3,24.4,0.0,18
Fideos Secos Semolados Con Curcuma,PASTAS,352.5,12.0,75.0,,3.1,,0.0,18
Helado De Crema Sabor Vainilla,HELADOS,186.7,3.5,25.0,7.5,0.0,24.2,43.3,17
Helado De Agua Sabor Naranja,HELADOS,100.0,0.0,23.3,0.2,0.0,21.6,0.0,17
Alimento Para Propósitos Médicos Específicos Líquido,SUPLEMENTOS Y DIETÉTICOS,136.0,7.0,14.5,5.6,1.0,6.0,106.0,17
Alimento Para Propósitos Médicos Específicos En Polvo,SUPLEMENTOS Y DIETÉTICOS,306.0,34.8,7.3,2.6,0.0,0.8,218.8,17
Brocoli Supercongelado,VEGETALES Y FRUTAS,28.0,3.0,2.0,0.4,3.0,1.7,12.0,17
Galletitas,GALLETITAS Y BARRAS,436.7,10.0,66.7,14.0,2.5,2.4,626.7,17
Confitura De Durazno,CONFITURAS Y DULCES,230.0,0.0,55.0,0.0,1.0,55.0,0.0,17
Suplemento Dietario En Polvo Dietetico Para Preparar Bebida A Base De Proteinas,SUPLEMENTOS Y DIETÉTICOS,392.9,71.6,11.8,5.0,3.2,,371.4,17
Mermelada De Cereza,CONFITURAS Y DULCES,265.0,0.0,65.0,0.0,0.0,65.0,0.0,17
Galletitas Crackers,GALLETITAS Y BARRAS,423.3,11.0,66.7,12.0,2.7,3.7,510.0,17
Poroto Colorado,VEGETALES Y FRUTAS,331.7,21.7,56.7,1.1,15.2,0.0,0.0,17
Azucar Comun Tipo ´A´,AZÚCARES Y EDULCORANTES,400.0,0.0,100.0,0.0,0.0,100.0,0.0,17
Confitura De Rosa Mosqueta,CONFITURAS Y DULCES,240.0,0.5,60.0,0.0,10.8,56.5,0.0,17
Queso Sardo,QUESOS,400.0,29.0,3.0,30.0,0.0,1.7,833.3,17
Masa Congelada Para Pan,MASAS Y PANADERÍA,276.9,7.7,46.0,6.2,,4.6,488.0,17
Helado De Crema Sabor Chocolate,HELADOS,175.0,3.3,25.0,6.5,0.2,24.3,46.8,16
Helado De Agua Sabor Limón,HELADOS,96.7,0.5,24.2,0.8,0.0,20.0,0.0,16
Helado De Agua Sabor Limon,HELADOS,105.0,0.0,25.0,0.0,0.0,22.5,0.1,16
Bebida Analcoholica Con Cafeina Y Taurina,SUPLEMENTOS Y DIETÉTICOS,44.8,,10.8,,,10.8,41.2,16
Leche Uat Entera,LÁCTEOS,61.0,3.3,4.8,3.2,,4.8,50.0,16
Caramelos Duros Sabores Surtidos,CARAMELOS Y GOLOSINAS,390.0,0.0,95.0,0.0,0.0,70.0,0.0,16
Confitura De Cereza,CONFITURAS Y DULCES,225.0,0.5,55.0,0.0,1.5,53.0,0.0,16
Bombones Rellenos Surtidos,CACAO Y CHOCOLATE,506.3,6.2,51.9,31.2,4.0,46.2,57.3,16
Chupetín De Caramelo Duro Ácido Sabor A Frutilla,CARAMELOS Y GOLOSINAS,400.0,0.0,100.0,0.0,0.0,72.7,22.7,16
Bombones Surtidos,CACAO Y CHOCOLATE,491.5,6.0,54.4,26.9,1.7,53.2,93.0,16
