rnpa,name,marca,categoria,unidad,calories,protein,carbs,fat,fat_sat,fat_trans,fiber,sugar,sodium,provincia
06-003180,PAN DE VIENA PARA PANCHOS (DZ DISTRIBUIDORA ZDERO),DZ DISTRIBUIDORA ZDERO,MASAS Y PANADERÍA,g,314.0,8.0,56.0,4.0,1.6,,,3.0,370.0,Datos Alimentos Chaco 06
06-003179,PAN LACTAL (DZ DISTRIBUIDORA ZDERO),DZ DISTRIBUIDORA ZDERO,MASAS Y PANADERÍA,g,354.0,8.0,48.0,14.0,2.4,,,2.6,424.0,Datos Alimentos Chaco 06
06-003178,PAN DE SANDWICH (DZ DISTRIBUIDORA  ZDERO),DZ DISTRIBUIDORA  ZDERO,MASAS Y PANADERÍA,g,282.0,8.0,54.0,4.0,0.8,,,2.0,454.0,Datos Alimentos Chaco 06
06-003177,PAN DE VIENA PARA HAMBURGUESAS CON SEMILLAS DE SéSAMO (DZ DISTRIBUIDORA ZDERO),DZ DISTRIBUIDORA ZDERO,MASAS Y PANADERÍA,g,318.0,8.0,58.0,6.0,1.6,,,2.6,304.0,Datos Alimentos Chaco 06
06-003176,GRISINES CON SEMILLA (DZ DISTRIBUIDORA ZDERO),DZ DISTRIBUIDORA ZDERO,MASAS Y PANADERÍA,g,396.67,6.67,73.33,10.0,2.0,,2.67,2.0,750.0,Datos Alimentos Chaco 06
06-003175,GRISINES CON QUESO (DZ DISTRIBUIDORA ZDERO),DZ DISTRIBUIDORA ZDERO,MASAS Y PANADERÍA,g,420.0,10.0,70.0,10.0,3.33,,,2.0,683.33,Datos Alimentos Chaco 06
06-003174,GRISINES (DZ DISTRIBUIDORA ZDERO),DZ DISTRIBUIDORA ZDERO,MASAS Y PANADERÍA,g,410.0,10.0,73.33,10.0,2.33,,,1.67,846.67,Datos Alimentos Chaco 06
06-003173,PAN LACTAL CON SEMILLA (DZ DISTRIBUIDORA ZDERO),DZ DISTRIBUIDORA ZDERO,MASAS Y PANADERÍA,g,300.0,10.0,48.0,8.0,2.0,,1.4,2.0,430.0,Datos Alimentos Chaco 06
06-003172,PRODUCTO DE REPOSTERÍA CON LEUDANTE QUÍMICO (DZ DISTRIBUIDORA ZDERO),DZ DISTRIBUIDORA ZDERO,MASAS Y PANADERÍA,g,356.67,5.0,63.33,8.33,3.33,0.5,,16.17,296.67,Datos Alimentos Chaco 06
06-003157,TAPAS PARA EMPANADAS TIPO CRIOLLA (LAS PASTAS DE DON AMADEO),LAS PASTAS DE DON AMADEO,MASAS Y PANADERÍA,g,336.67,6.67,56.67,10.0,6.67,1.0,,0.0,576.67,Datos Alimentos Chaco 06
06-003153,BIZCOCHOS CRUDOS CONGELADOS (DELALE),DELALE,GALLETITAS Y BARRAS,g,353.33,5.0,43.33,16.67,7.33,,,,703.33,Datos Alimentos Chaco 06
06-003152,FACTURAS DE PANADERIA CRUDAS CONGELADAS (DELALE),DELALE,MASAS Y PANADERÍA,g,,,,,,,,,,Datos Alimentos Chaco 06
06-003151,MASA CONGELADA PARA PAN DE VIENA (DELALE),DELALE,MASAS Y PANADERÍA,g,314.0,8.0,48.0,10.0,3.0,,,3.8,432.0,Datos Alimentos Chaco 06
06-003150,GALLETITAS DULCES CRUDAS CONGELADAS (DELALE),DELALE,GALLETITAS Y BARRAS,g,403.33,5.0,60.0,16.67,8.0,,,7.0,266.67,Datos Alimentos Chaco 06
06-003149,"HELADO DE CREMA SABOR AMERICANA GRANIZADA, CON CARAMELO LIQUIDO (LUIGI)",LUIGI,HELADOS,g,241.67,4.67,33.33,9.67,5.83,,,31.67,70.0,Datos Alimentos Chaco 06
06-003119,COMIDAS PREPARADAS CONGELADAS EMPANADAS DE VERDURAS Y QUESO (PASTILETY),PASTILETY,COMIDAS PREPARADAS,g,245.0,6.83,43.33,5.17,12.17,2.33,5.33,,646.67,Datos Alimentos Chaco 06
06-003118,COMIDAS PREPARADAS CONGELADAS EMPANADA DE JAMóN Y QUESO (PASTILETY),PASTILETY,COMIDAS PREPARADAS,g,290.0,13.67,31.67,12.0,7.17,0.5,,,758.33,Datos Alimentos Chaco 06
06-003117,FACTURAS DE PASTELERíA (SANTIAGO),SANTIAGO,MASAS Y PANADERÍA,g,350.0,7.5,62.5,17.5,10.5,,,2.25,305.0,Datos Alimentos Chaco 06
06-003116,CHIPá (SANTIAGO),SANTIAGO,MASAS Y PANADERÍA,g,414.0,8.0,62.0,15.2,8.6,,,2.0,1154.0,Datos Alimentos Chaco 06
06-003101,PASTAS FRESCAS RELLENAS DE POLLO (PASTAS FRESCAS FOSCHIATTI),PASTAS FRESCAS FOSCHIATTI,PASTAS,g,272.0,10.0,41.0,2.0,0.0,0.0,0.0,1.2,292.0,Datos Alimentos Chaco 06
06-003099,PASTAS RELLENAS CONGELADOS SORRETINOS DE VERDURA (PASTILETY),PASTILETY,PASTAS,g,226.0,6.0,43.0,3.0,0.0,,,0.9,881.0,Datos Alimentos Chaco 06
06-003098,PASTAS RELLENAS CONGELADAS  SORRETINOS DE POLLO (PASTILETY),PASTILETY,PASTAS,g,241.0,7.5,40.0,5.5,0.45,,,0.5,306.0,Datos Alimentos Chaco 06
06-003097,PASTAS RELLENAS CONGELADAS SORRENTINOS DE RICOTA (PASTILETY),PASTILETY,PASTAS,g,228.0,7.0,45.0,2.0,0.2,,,1.4,125.0,Datos Alimentos Chaco 06
06-003092,HELADO DE LECHE SABOR FRUTILLA (ARAGON),ARAGON,HELADOS,g,131.67,2.17,25.0,2.67,2.17,0.0,0.0,20.0,40.0,Datos Alimentos Chaco 06
06-003091,HELADO DE AGUA SABOR FRUTILLA (ARAGON),ARAGON,HELADOS,g,78.33,,20.0,,,,,20.0,0.0,Datos Alimentos Chaco 06
06-003087,AJO TRITURADO DESHIDRATADO (NATUDIET),NATUDIET,CONDIMENTOS Y ESPECIAS,g,360.0,20.0,80.0,,,,,,220.0,Datos Alimentos Chaco 06
06-003083,MEZCLAS DE ESPECIAS (NATUDIET),NATUDIET,CONDIMENTOS Y ESPECIAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-003077,"HELADO DE CREMA SABOR DULCE DE LECHE Y CHOCOLATE, CON CEREAL, RECUBIERTO CON CHOCOLATE Y DECORADO CON DULCE DE LECHE (BADHINO)",BADHINO,HELADOS,g,261.67,3.17,43.33,8.0,3.67,,,30.0,118.33,Datos Alimentos Chaco 06
06-003076,"HELADO DE CREMA SABOR DULCE DE LECHE Y  CHOCOLATE, CON CEREAL, RECUBIERTO CON CHOCOLATE Y DECORADO CON  DULCE DE LECHE (LUIGI)",LUIGI,HELADOS,g,261.67,3.17,43.33,8.0,3.67,,,30.0,118.33,Datos Alimentos Chaco 06
06-003072,AGUA DE MESA ENVASADA (IDEAL),IDEAL,AGUAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-003067,AGUA DE MESA ENVASADA (LA COLONIA),LA COLONIA,AGUAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-003065,PASTAS FRESCAS CON MORRóN-CINTA/PASTAS FRESCAS CON MORRÓN-TALLARÍN (EL NONO),EL NONO,PASTAS,g,278.0,7.0,62.0,,,,,0.0,129.0,Datos Alimentos Chaco 06
