rnpa,name,marca,categoria,unidad,calories,protein,carbs,fat,fat_sat,fat_trans,fiber,sugar,sodium,provincia
07-007421,TARTA DE JAMÓN COCIDO Y QUESO CREMOSO (PANADERIA Y CONFITERIA VALENTINA),PANADERIA Y CONFITERIA VALENTINA,MASAS Y PANADERÍA,g,435.0,17.0,35.0,25.0,10.0,,1.0,,777.0,Datos alimentos Chubut 07
07-007421,TARTA DE JAMÓN COCIDO Y QUESO CREMOSO (PANADERIA Y CONFITERIA VALENTINA),PANADERIA Y CONFITERIA VALENTINA,COMIDAS PREPARADAS,g,435.0,17.0,35.0,25.0,10.0,,1.0,,777.0,Datos alimentos Chubut 07
07-007420,HELADO DE CREMA DE DULCE DE LECHE CON ALFAJOR CON RELLENO DE DULCE DE LECHE CUBIERTO CON CHOCOLATE (JAUJA),JAUJA,HELADOS,g,211.67,5.0,41.67,8.17,4.83,,,38.33,208.33,Datos alimentos Chubut 07
07-007419,SUPLEMENTO DIETARIO A BASE DE VITAMINA C LíQUIDO CON HUEVAS DE ERIZO DE MAR (PROMARINE ANTIOXIDANTS),PROMARINE ANTIOXIDANTS,SUPLEMENTOS Y DIETÉTICOS,ml,46.67,0.0,0.43,0.0,0.0,0.0,0.0,0.43,66.67,Datos alimentos Chubut 07
07-007418,SUPLEMENTO DIETARIO A BASE DE OMEGA 3 LÍQUIDO EN ACEITE (PROMARINE ANTIOXIDANTS),PROMARINE ANTIOXIDANTS,SUPLEMENTOS Y DIETÉTICOS,ml,766.67,0.0,0.0,100.0,33.33,0.0,0.0,0.0,166.67,Datos alimentos Chubut 07
07-007417,ACEITE DE OLVIA VIRGEN EXTRA (KETRAWE),KETRAWE,ACEITES Y GRASAS,ml,830.77,0.0,0.0,92.31,15.38,0.0,0.0,0.0,0.0,Datos alimentos Chubut 07
07-007416,CHIMICHURRI (MARCO POLO),MARCO POLO,CONDIMENTOS Y ESPECIAS,g,,,,,,,,,,Datos alimentos Chubut 07
07-007415,SUPLEMENTO DIETARIO A BASE DE COMPLEJO VITAMíNICO B LíQUIDO CON HUEVAS DE ERIZOS DE MAR Y ALGA CHLORELLA (PROMARINE ANTIOXIDANTS),PROMARINE ANTIOXIDANTS,SUPLEMENTOS Y DIETÉTICOS,g,68.18,11.82,0.45,2.27,,,4.55,0.45,40.91,Datos alimentos Chubut 07
07-007414,"AGUA MINERAL NATURAL SIN GAS, OLIGOMINERALIZADA, DE FUENTE ATERMAL DE BAJO CONTENIDO EN SODIO (PIRENCO PATAGONIA)",PIRENCO PATAGONIA,AGUAS,-,,,,,,,,,,Datos alimentos Chubut 07
07-007413,MALTA DE CEBADA (LA ALAZANA),LA ALAZANA,BEBIDAS ALCOHÓLICAS,g,370.0,10.0,78.0,1.9,0.4,,7.5,7.0,11.0,Datos alimentos Chubut 07
07-007412,DULCE DE FRAMBUESA Y CIRUELA (DAZUL),DAZUL,CONFITURAS Y DULCES,g,260.0,,65.0,,,,,65.0,0.0,Datos alimentos Chubut 07
07-007411,DULCE DE MANZANA Y CEREZA (DAZUL),DAZUL,CONFITURAS Y DULCES,g,260.0,0.0,71.5,0.0,0.0,0.0,0.0,71.5,0.0,Datos alimentos Chubut 07
07-007410,MIEL (EL CALFU),EL CALFU,CONFITURAS Y DULCES,g,330.0,3.5,85.0,3.0,,,8.0,85.0,0.0,Datos alimentos Chubut 07
07-007409,PAPA CRUDA CORTADA PARCIALMENTE PELADA (SOUTHEX),SOUTHEX,VEGETALES Y FRUTAS,g,88.0,2.7,19.3,,,,,0.0,24.0,Datos alimentos Chubut 07
07-007408,CERVEZA RUBIA (CERVEZA ARTESANAL RADAL),CERVEZA ARTESANAL RADAL,BEBIDAS ALCOHÓLICAS,g,,,,,,,,,,Datos alimentos Chubut 07
07-007407,DULCE DE PERA (DAZUL),DAZUL,CONFITURAS Y DULCES,g,190.0,0.0,47.5,0.0,0.0,0.0,,47.5,0.0,Datos alimentos Chubut 07
07-007406,DULCE DE CEREZA Y GUINDA (DAZUL),DAZUL,CONFITURAS Y DULCES,g,272.0,0.0,68.0,0.0,0.0,0.0,0.0,68.0,0.0,Datos alimentos Chubut 07
07-007405,"MEZCLA DE PAPA, ALGAS WAKAME, FECULA DE PAPA, CURCUMA, CALDO DE VERDURA, CEBOLLA Y ZAPALLO  DESHIDRATADA PARA SOPA INSTANTANEA (CHACRA KAISH)",CHACRA KAISH,VEGETALES Y FRUTAS,g,270.59,7.06,57.06,0.0,0.0,0.0,5.29,1.18,223.53,Datos alimentos Chubut 07
07-007404,"ADEREZO DESHIDRATADO A BASE DE MOSTAZA, VINAGRE , CEBOLLA, NARANJA Y CURCUMA (CHACRA KAISH)",CHACRA KAISH,VEGETALES Y FRUTAS,g,440.0,16.0,52.0,20.0,,,10.0,10.0,0.0,Datos alimentos Chubut 07
07-007403,"MEZCLA DE PAPA, ESPARRAGOS, CEBOLLA, FECULA DE PAPA Y AJODESHIDRATADAS PARA SOPA INSTANTANEA (CHACRA KAISH)",CHACRA KAISH,VEGETALES Y FRUTAS,g,300.0,10.59,64.71,,,,10.0,0.59,91.18,Datos alimentos Chubut 07
07-007402,ALFAJOR DE DULCE  DE FRAMBUESA CON BAÑO DE REPOSTERIA  BLANCO (AIWEN),AIWEN,ALFAJORES,g,312.5,5.0,45.0,12.5,7.5,0.0,0.0,40.0,32.5,Datos alimentos Chubut 07
07-007401,ALFAJOR DE DULCE DE LECHE CON BAÑO DE REPOSTERIA SEMIAMARGO (AIWEN),AIWEN,ALFAJORES,g,327.5,5.0,42.5,12.5,7.5,0.0,0.0,37.5,85.0,Datos alimentos Chubut 07
07-007400,ALFAJOR DE DULCE DE FRAMBUESA  CON BAÑO DE REPOSTERIA SEMIAMARGO (AIWEN),AIWEN,ALFAJORES,g,312.5,5.0,45.0,12.5,7.5,0.0,0.0,40.0,32.5,Datos alimentos Chubut 07
07-007399,ALFAJOR DE DULCE DE LECHE Y COCO RALLADO (AIWEN),AIWEN,ALFAJORES,g,377.5,5.0,57.5,12.5,5.0,0.0,0.0,24.0,177.5,Datos alimentos Chubut 07
07-007398,MIEL (DON MARCOS),DON MARCOS,CONFITURAS Y DULCES,g,330.0,,80.0,,,,,80.0,0.0,Datos alimentos Chubut 07
07-007397,BOCADITO DE DULCE DE LECHE Y NUEZ  CON BAÑO DE REPOSTERIA SEMIAMARGO (AIWEN),AIWEN,CACAO Y CHOCOLATE,g,464.0,8.0,44.0,28.0,12.0,0.0,4.0,34.8,40.0,Datos alimentos Chubut 07
07-007396,"GALLETITAS  SALADAS CON AVENA , SEMILLAS DE LINO Y DE GIRASOL. TENOR GRASO 20% (AIWEN)",AIWEN,GALLETITAS Y BARRAS,g,506.67,10.0,73.33,20.0,3.33,0.0,10.0,0.33,236.67,Datos alimentos Chubut 07
07-007395,GALLETITAS DULCES  CON AVENA Y ARáNDANOS. TENOR GRASO 13% (AIWEN),AIWEN,GALLETITAS Y BARRAS,g,543.33,14.0,90.0,13.33,3.33,0.0,3.67,30.67,140.0,Datos alimentos Chubut 07
07-007394,CITRON EN ALMIBAR (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007393,ZAPALLO EN ALMIBAR (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007392,"DULCE DE FRAMBUESA, CEREZA Y FRUTILLA (DAZUL)",DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007391,DULCE DE POMELO NARANJA Y LIMON (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007389,"MEZCLA DE PAPA, ESPINACAS, CALDO DE VERDURA, FéCULA DE PAPA, HONGOS DE PINO Y CEBOLLA  DESHIDRATADAS PARA SOPA INSTANTANEA (CHACRA KAISH)",CHACRA KAISH,VEGETALES Y FRUTAS,g,294.12,12.94,50.59,0.0,0.0,0.0,10.59,15.88,94.12,Datos alimentos Chubut 07
07-007388,GALLETITAS DULCES DE AVENA Y CHIPS DE CHOCOLATE CON AROMATIZANTE ARTIFICIAL DE VAINILLA CON 18% DE GRASA (AIWEN),AIWEN,GALLETITAS Y BARRAS,g,420.0,7.0,60.0,17.0,8.33,0.0,3.33,40.0,120.0,Datos alimentos Chubut 07
07-007387,"GALLETITAS DULCES  DE AVENA, CHOCOLATE Y  CAFé CON AROMATIZANTE ARTIFICIAL DE VAINILLA CON 17% DE GRASA (AIWEN)",AIWEN,GALLETITAS Y BARRAS,g,313.33,4.67,43.33,13.33,3.33,0.0,2.0,27.33,116.67,Datos alimentos Chubut 07
07-007386,"GALLETITAS DULCES DE AVENA, MANZANA Y NUEZ CON CANELA  Y AROMATIZANTE ARTIFICIAL DE VAINILLA CON 14% DE GRASA (AIWEN)",AIWEN,GALLETITAS Y BARRAS,g,373.33,6.0,53.33,15.67,3.0,0.0,1.67,32.0,226.67,Datos alimentos Chubut 07
07-007385,CHOCOLATE BLANCO CON AROMATIZANTE VIANILLINA (PATAGONIA BERRIES),PATAGONIA BERRIES,CACAO Y CHOCOLATE,g,580.0,7.2,52.0,38.0,22.8,,,,144.0,Datos alimentos Chubut 07
07-007384,"ADEREZO DESHIDRATADO A BASE DE MOSTAZA PARDA, HONGOS DE PINO Y VINAGRE (CHACRA KAISH)",CHACRA KAISH,VEGETALES Y FRUTAS,g,400.0,18.0,44.0,18.0,,,10.0,,0.0,Datos alimentos Chubut 07
07-007383,"MEZCLA DE PAPA, ZAPALLO, FECULA DE PAPA, CALDO DE VERDURA, AJO Y JENGIBREDESHIDRATADA PARA SOPA INSTANTANEA (CHACRA KAISH)",CHACRA KAISH,VEGETALES Y FRUTAS,g,323.53,8.82,37.65,,,,4.71,8.82,70.59,Datos alimentos Chubut 07
07-007382,ALFAJOR CON CACAO RELLENO CON DULCE DE LECHE CUBIERTO CON COBERTURA CHOCOLATE BLANCO (MEMORABLE),MEMORABLE,GALLETITAS Y BARRAS,g,382.7,5.0,56.0,15.0,7.75,0.5,2.0,51.0,248.25,Datos alimentos Chubut 07
07-007381,CHOCOLATE SEMIAMARGO CON AROMATIZANTES VAINILLINA Y ETILVAINILLINA (PATAGONIA BERRIES),PATAGONIA BERRIES,CACAO Y CHOCOLATE,g,532.0,5.2,48.0,34.8,21.2,,7.2,,0.0,Datos alimentos Chubut 07
07-007380,CHOCOLATE CON LECHE CON ALMENDRAS CON AROMATIZANTE VAINILLINA (PATAGONIA BERRIES),PATAGONIA BERRIES,CACAO Y CHOCOLATE,g,568.0,10.0,48.0,37.6,18.4,,3.2,,104.0,Datos alimentos Chubut 07
07-007379,MIEL (ORO DE ESQUEL),ORO DE ESQUEL,CONFITURAS Y DULCES,g,330.0,,80.0,,,,,80.0,0.0,Datos alimentos Chubut 07
07-007378,DULCE DE DURAZNO (FINCA CABALLO BLANCO),FINCA CABALLO BLANCO,CONFITURAS Y DULCES,g,165.0,,48.0,,,,,48.0,0.0,Datos alimentos Chubut 07
07-007377,DULCE DE CEREZA (FINCA CABALLO BLANCO),FINCA CABALLO BLANCO,CONFITURAS Y DULCES,g,165.0,,48.0,,,,,48.0,0.0,Datos alimentos Chubut 07
07-007376,"GALLETAS MARINERAS CON  GIRASOL, AVENA, LINO Y SÉSAMO (PANADERIA Y CONFITERIA VALENTINA)",PANADERIA Y CONFITERIA VALENTINA,MASAS Y PANADERÍA,g,304.0,14.0,40.0,16.0,,,10.0,,600.0,Datos alimentos Chubut 07
07-007375,DULCE DE MEMBRILLO (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007374,DULCE DE TOMATE ROJO (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007373,DULCE DE ZAPALLO (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007372,DULCE DE MORA (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007371,DULCE DE ALCAYOTA (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007370,DULCE DE PERA (NATANSBERRIES),NATANSBERRIES,CONFITURAS Y DULCES,g,205.0,,45.0,,,,,45.0,0.0,Datos alimentos Chubut 07
07-007369,DULCE DE MANZANA (NATANSBERRIES),NATANSBERRIES,CONFITURAS Y DULCES,g,260.0,,65.0,,,,,65.0,0.0,Datos alimentos Chubut 07
07-007368,DULCE DE DAMASCO (NATANSBERRIES),NATANSBERRIES,CONFITURAS Y DULCES,g,265.0,,65.0,,,,,65.0,0.0,Datos alimentos Chubut 07
07-007367,DULCE DE DURAZNO (NATANSBERRIES),NATANSBERRIES,CONFITURAS Y DULCES,g,265.0,,65.0,,,,,65.0,0.0,Datos alimentos Chubut 07
07-007366,DULCE DE CIRUELA (NATANSBERRIES),NATANSBERRIES,CONFITURAS Y DULCES,g,255.0,,65.0,,,,,65.0,0.0,Datos alimentos Chubut 07
07-007365,DULCE DE CALAFATE (PASO ANCHO BERRIES),PASO ANCHO BERRIES,CONFITURAS Y DULCES,g,180.0,,45.0,,,,,,0.0,Datos alimentos Chubut 07
07-007364,GALLETAS MARINERAS  CON SALVADO (PANADERIA Y CONFITERIA VALENTINA),PANADERIA Y CONFITERIA VALENTINA,MASAS Y PANADERÍA,g,298.0,8.0,56.0,6.0,2.0,,4.0,,600.0,Datos alimentos Chubut 07
07-007363,PAN TIPO FRANCÉS (PANADERIA Y CONFITERIA VALENTINA),PANADERIA Y CONFITERIA VALENTINA,MASAS Y PANADERÍA,g,230.0,6.4,48.0,0.6,,,,,476.0,Datos alimentos Chubut 07
07-007362,"JUGO DE SAUCO ENDULZADO CON 4% DE AZUCAR, DILUIDO Y PASTEURIZADO (KIMELü)",KIMELü,JUGOS,ml,37.5,,9.5,,,,0.95,8.5,0.0,Datos alimentos Chubut 07
07-007361,"JUGO DE CIRUELA ENDULZADO CON 8,6% DE AZúCAR, DILUIDO Y PASTEURIZADO (KIMELü)",KIMELü,JUGOS,ml,58.0,0.3,14.5,,,,1.0,13.5,0.0,Datos alimentos Chubut 07
07-007360,"MEZCLA DE ARVEJAS MOLIDAS, ZANHORIA, ESPINACA , CEBOLLA Y ZAPALLO PARA PREPARAR CALDO DE VERDURA (CHACRA KAISH)",CHACRA KAISH,VEGETALES Y FRUTAS,g,270.0,14.0,52.0,0.0,0.0,0.0,17.0,0.0,110.0,Datos alimentos Chubut 07
07-007359,CHOCOLATE SEMIAMARGO CON AROMATIZANTES VAINILLINA Y ETILVAINILLINA (JAUJA),JAUJA,CACAO Y CHOCOLATE,g,532.0,5.2,48.0,34.8,21.2,,7.2,48.0,0.0,Datos alimentos Chubut 07
07-007358,CHOCOLATE CON LECHE CON ALMENDRAS CON AROMATIZANTE VAINILLINA (JAUJA),JAUJA,CACAO Y CHOCOLATE,g,556.0,10.4,44.0,37.6,17.6,,3.6,44.0,96.0,Datos alimentos Chubut 07
07-007357,CHOCOLATE BLANCO CON AROMATIZANTE VAINILLINA (JAUJA),JAUJA,CACAO Y CHOCOLATE,g,580.0,7.2,52.0,38.0,22.8,,,52.0,144.0,Datos alimentos Chubut 07
07-007356,CHOCOLATE CON LECHE CON AROMATIZANTE VAINILLINA (JAUJA),JAUJA,CACAO Y CHOCOLATE,g,556.0,7.6,52.0,35.2,21.2,,,52.0,116.0,Datos alimentos Chubut 07
07-007355,CHOCOLATE AMARGO (JAUJA),JAUJA,CACAO Y CHOCOLATE,g,536.0,6.8,40.0,38.0,22.8,,10.4,40.0,0.0,Datos alimentos Chubut 07
07-007354,"MEZCLA DE PAPA CALDO DE VERDURA, HONGOS DE PINO, FECULA DE PA Y CEBOLLA DESHIDRATADAS PARA SOPA INSTANTANEA (CHACRA KAISH)",CHACRA KAISH,VEGETALES Y FRUTAS,g,241.18,25.29,70.59,,,,5.88,0.59,100.0,Datos alimentos Chubut 07
07-007353,DULCE DE CEREZA (LAS NORIAS),LAS NORIAS,CONFITURAS Y DULCES,g,165.0,,40.0,,,,,,0.0,Datos alimentos Chubut 07
07-007352,DULCE DE CEREZA (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007351,DULCE DE ROSA MOSQUETA (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007350,DULCE DE DAMASCO (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007349,DULCE DE DURAZNO (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007348,"JUGO DE ARÁNDANOS ENDULZADO CON 5% DE AZUCAR, DILUIDO Y PASTEURIZADO (KIMELü)",KIMELü,JUGOS,ml,39.0,,10.0,,,,0.8,9.0,0.0,Datos alimentos Chubut 07
07-007347,DULCE DE HIGO (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007346,DULCE DE CIRUELA (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007345,DULCE DE GUINDA (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007344,DULCE DE SAUCO (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007343,MERMELADA DE TUNAS CON MELóN Y OPORTO (DULCE CRISTINA),DULCE CRISTINA,CONFITURAS Y DULCES,g,270.0,,65.0,,,,,,0.0,Datos alimentos Chubut 07
07-007342,DULCE DE CEREZA (CHACRA LA STELLE),CHACRA LA STELLE,CONFITURAS Y DULCES,g,165.0,,40.0,,,,,,0.0,Datos alimentos Chubut 07
07-007341,"JUGO DE FRUTILLAS ENDULZADO CON 6% DE AZúCAR, DILUIDO Y PASTEURIZADO (KIMELü)",KIMELü,JUGOS,ml,34.0,0.0,8.5,0.0,0.0,0.0,0.3,8.0,0.0,Datos alimentos Chubut 07
07-007338,"BONDIOLA DE CERDO CON CEBOLLA, ARROZ Y CERVEZA (LA CHACHA)",LA CHACHA,COMIDAS PREPARADAS,g,196.0,10.0,14.0,10.4,4.4,,0.8,,57.2,Datos alimentos Chubut 07
07-007337,AGUA DE MESA TRATADA (FLUIR),FLUIR,AGUAS,g,,,,,,,,,,Datos alimentos Chubut 07
07-007334,GRISINES CON QUESO (PANADERIA Y CONFITERIA VALENTINA),PANADERIA Y CONFITERIA VALENTINA,MASAS Y PANADERÍA,g,470.0,12.5,37.5,10.0,2.5,,1.25,,597.5,Datos alimentos Chubut 07
07-007331,DULCE TOMATE VERDE (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007330,DULCE DE FRAMBUESA (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007329,CHOCOLATE CON LECHE CON AROMATIZANTE VAINILLINA (PATAGONIA BERRIES),PATAGONIA BERRIES,CACAO Y CHOCOLATE,g,556.0,7.6,52.0,35.2,21.2,,,,116.0,Datos alimentos Chubut 07
07-007328,"LENTEJAS CON CARNE VACUNA, CEBOLLA, CHORIZO COLORADO, PANCETA Y ZANAHORIA (LA CHACHA)",LA CHACHA,COMIDAS PREPARADAS,g,321.0,18.0,11.0,23.0,9.5,,4.5,,574.0,Datos alimentos Chubut 07
07-007327,DULCE DE CITRON (DAZUL),DAZUL,CONFITURAS Y DULCES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007326,SAL CON SABOR A HUMO (SAL DE AQUí),SAL DE AQUí,SAL Y SALES,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35810.0,Datos alimentos Chubut 07
07-007325,DULCE DE FRUTILLA (DAZUL),DAZUL,CONFITURAS Y DULCES,g,174.95,,43.0,,,,,43.0,0.0,Datos alimentos Chubut 07
07-007324,MIEL DE ABEJAS (BEE WILD),BEE WILD,CONFITURAS Y DULCES,g,320.0,,80.0,,,,,,0.0,Datos alimentos Chubut 07
07-007323,DULCE DE BOYSENBERRY (EL VIEJO MOLINO),EL VIEJO MOLINO,CONFITURAS Y DULCES,g,260.0,,65.0,,,,,65.0,0.0,Datos alimentos Chubut 07
07-007319,ALFAJOR RELLENO CON CONFITURA DE FRUTILLA CON COBERTURA DE CHOCOLATE SEMIAMARGO (PANADERIA Y CONFITERIA VALENTINA),PANADERIA Y CONFITERIA VALENTINA,ALFAJORES,g,375.0,3.5,20.5,16.25,4.0,,3.0,12.75,37.5,Datos alimentos Chubut 07
07-007318,ALFAJOR RELLENO CON DULCE DE FRAMBUESA CON COBERTURA DE CHOCOLATE SEMIAMARGO (PANADERIA Y CONFITERIA VALENTINA),PANADERIA Y CONFITERIA VALENTINA,ALFAJORES,g,362.5,3.5,20.5,16.25,4.0,,5.25,12.75,37.5,Datos alimentos Chubut 07
07-007317,ALFAJOR RELLENO CON DULCE DE ARÁNDANOS CON COBERTURA DE CHOCOLATE SEMIAMARGO (PANADERIA Y CONFITERIA VALENTINA),PANADERIA Y CONFITERIA VALENTINA,ALFAJORES,g,375.0,3.5,20.5,16.25,4.0,,1.75,12.75,37.5,Datos alimentos Chubut 07
07-007315,DULCE DE CEREZAS NEGRAS (EL VIEJO MOLINO),EL VIEJO MOLINO,CONFITURAS Y DULCES,g,270.0,,65.0,,,,,65.0,0.0,Datos alimentos Chubut 07
07-007314,DULCE DE SAUCO (EL VIEJO MOLINO),EL VIEJO MOLINO,CONFITURAS Y DULCES,g,265.0,,65.0,,,,,65.0,0.0,Datos alimentos Chubut 07
07-007313,DULCE DE CEREZAS (EL VIEJO MOLINO),EL VIEJO MOLINO,CONFITURAS Y DULCES,g,280.0,,65.0,,,,,,0.0,Datos alimentos Chubut 07
07-007312,DULCE DE GROSELLAS (EL VIEJO MOLINO),EL VIEJO MOLINO,CONFITURAS Y DULCES,g,260.0,,65.0,,,,,65.0,0.0,Datos alimentos Chubut 07
07-007311,DULCE DE GUINDAS (EL VIEJO MOLINO),EL VIEJO MOLINO,CONFITURAS Y DULCES,g,270.0,,65.0,,,,,65.0,0.0,Datos alimentos Chubut 07
07-007310,DULCE DE MOSQUETA (EL VIEJO MOLINO),EL VIEJO MOLINO,CONFITURAS Y DULCES,g,270.0,,65.0,,,,,65.0,0.0,Datos alimentos Chubut 07
07-007309,DULCE DE FRUTILLA (EL VIEJO MOLINO),EL VIEJO MOLINO,CONFITURAS Y DULCES,g,265.0,,65.0,,,,,65.0,0.0,Datos alimentos Chubut 07
07-007308,PASTAS FRESCAS RELLENAS CON MUZARELLA Y JAMON COCIDO (SORRENTINOS DE MUZARELLA Y JAMON) (LA CHACHA SRL),LA CHACHA SRL,PASTAS,g,295.0,14.0,33.5,11.0,5.0,,2.0,,936.0,Datos alimentos Chubut 07
07-007307,MERMELADA DE NARANJA Y ROSA MOSQUETA (LA MADRYNA),LA MADRYNA,CONFITURAS Y DULCES,g,240.0,0.0,59.0,0.0,0.0,0.0,1.5,53.5,0.0,Datos alimentos Chubut 07
07-007306,MEZCLA DE FLORES DE HIBISCUS CON REMOLACHA Y PETALOS DE ROSA PARA INFUSION. (TEA AND HAIKU),TEA AND HAIKU,TÉ E INFUSIONES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007305,DULCE DE MANZANA (HERENCIA),HERENCIA,CONFITURAS Y DULCES,g,260.0,,65.0,,,,,,0.0,Datos alimentos Chubut 07
07-007304,DULCE DE MEMBRILLO (HERENCIA),HERENCIA,CONFITURAS Y DULCES,g,260.0,,65.0,,,,,,0.0,Datos alimentos Chubut 07
07-007303,DULCE DE CIRUELA (HERENCIA),HERENCIA,CONFITURAS Y DULCES,g,260.0,,65.0,,,,,,0.0,Datos alimentos Chubut 07
07-007302,DULCE DE NARANJA (HERENCIA),HERENCIA,CONFITURAS Y DULCES,g,260.0,,65.0,,,,,,0.0,Datos alimentos Chubut 07
07-007301,DULCE DE DURAZNO (HERENCIA),HERENCIA,CONFITURAS Y DULCES,g,260.0,,65.0,,,,,,0.0,Datos alimentos Chubut 07
07-007300,MERMELADA DE SAUCO (LOS DULCES DE JUDITH),LOS DULCES DE JUDITH,CONFITURAS Y DULCES,g,170.0,,40.0,,,,,,0.0,Datos alimentos Chubut 07
07-007299,DULCE DE FRAMBUESA (EL VIEJO MOLINO),EL VIEJO MOLINO,CONFITURAS Y DULCES,g,260.0,,65.0,,,,,65.0,0.0,Datos alimentos Chubut 07
07-007298,"TE NEGRO CON CEREZA, CLAVO DE OLOR, NUEZ Y COÑAC. (ED ETHEREO Y LA BANDA IMAGINARIA)",ED ETHEREO Y LA BANDA IMAGINARIA,TÉ E INFUSIONES,g,,,,,,,,,,Datos alimentos Chubut 07
07-007297,MILANESAS DE POLLO REBOZADAS (JUNIOR´S),JUNIOR´S,CARNES Y CHACINADOS,g,270.0,11.54,11.54,6.15,1.77,,1.15,,62.31,Datos alimentos Chubut 07
07-007296,"FRAMBUESAS, MORAS, CORINTOS Y ARáNDANOS PASTEURIZADOS (PATAGONIA BERRIES)",PATAGONIA BERRIES,VEGETALES Y FRUTAS,g,80.0,,19.29,,,,2.14,,0.0,Datos alimentos Chubut 07
07-007295,MERMELADA DE ARÁNDANO Y SAUCO (CUYEN),CUYEN,CONFITURAS Y DULCES,g,220.0,,50.0,,,,,,0.0,Datos alimentos Chubut 07
07-007294,GALLETITA DULCE RELLENA CON DULCE DE LECHE Y COBERTURA DE  CHOCOLATE BLANCO (LAGO PUELO CHOCOLATE),LAGO PUELO CHOCOLATE,GALLETITAS Y BARRAS,g,320.0,4.25,40.0,15.75,12.25,,1.5,,107.5,Datos alimentos Chubut 07
07-007293,GALLETITAS CON DULCE DE LECHE Y COBERTURA DE CHOCOLATE SEMIAMARGO (LAGO PUELO CHOCOLATE),LAGO PUELO CHOCOLATE,GALLETITAS Y BARRAS,g,320.0,4.25,40.0,15.75,12.25,,1.5,,107.5,Datos alimentos Chubut 07
07-007292,ALFAJOR RELLENO DE DULCE DE FRAMBUESA CON COBERTURA DE CHOCOLATE BLANCO (LAGO PUELO CHOCOLATES),LAGO PUELO CHOCOLATES,ALFAJORES,g,407.5,4.0,55.0,19.25,10.75,,1.25,,190.0,Datos alimentos Chubut 07
07-007291,ALFAJOR RELLENO DE DULCE DE FRAMBUESA CON COBERTURA DE CHOCOLATE SEMIAMARGO (LAGO PUELO CHOCOLATES),LAGO PUELO CHOCOLATES,ALFAJORES,g,402.5,4.0,55.0,19.25,12.5,,2.0,,180.0,Datos alimentos Chubut 07
07-007290,ALFAJOR RELLENO DE DULCE DE FRUTILLA CON COBERTURA DE CHOCOLATE  BLANCO (LAGO PUELO CHOCOLATES),LAGO PUELO CHOCOLATES,ALFAJORES,g,410.0,4.0,55.0,19.0,10.75,,,,190.0,Datos alimentos Chubut 07
07-007289,ALFAJOR RELLENO DE DULCE DE FRUTILLA CON COBERTURA DE CHOCOLATE  SEMIAMARGO (LAGO PUELO CHOCOLATE),LAGO PUELO CHOCOLATE,ALFAJORES,g,407.5,3.75,55.0,19.25,12.5,,1.5,,180.0,Datos alimentos Chubut 07
07-007288,ALFAJOR RELLENO DE DULCE DE FRUTOS DEL BOSQUE CON COBERTURA DE CHOCOLATE BLANCO (LAGO PUELO CHOCOLATES),LAGO PUELO CHOCOLATES,ALFAJORES,g,417.5,4.0,60.0,19.0,10.75,,1.5,,190.0,Datos alimentos Chubut 07
